Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Sweden,Guam,2018,Exports & Imports,23,6,0.53,0.13,173.58,180.6,7.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Guyana,2018,Exports & Imports,46,7,1.06,0.16,1846.66,1993.97,147.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,"Hong Kong, China",2018,Exports & Imports,1551,2107,35.85,47.3,-606299.43,370594.59,976894.03,0.57,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Heard Island and McDonald Isla,2018,Exports & Imports,1,1,0.02,0.02,-104.27,3.11,107.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Honduras,2018,Exports & Imports,163,23,3.77,0.52,-16549.5,17707.44,34256.94,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Croatia,2018,Exports & Imports,1148,328,26.54,7.36,1967.03,113407.38,111440.35,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Haiti,2018,Exports & Imports,30,6,0.69,0.13,2345.39,2413.41,68.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Hungary,2018,Exports & Imports,1503,911,34.74,20.45,-1065083.11,704657.22,1769740.33,1.04,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Indonesia,2018,Exports & Imports,855,730,19.76,16.39,270771.23,438633.27,167862.04,0.1,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,India,2018,Exports & Imports,1562,1807,36.11,40.56,559691.66,1336486.94,776795.27,0.46,0.81,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,British Indian Ocean Ter.,2018,Exports & Imports,1,2,0.02,0.04,-366.89,2.07,368.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Ireland,2018,Exports & Imports,1446,986,33.43,22.13,-908715.15,666925.4,1575640.55,0.93,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,"Iran, Islamic Rep.",2018,Exports & Imports,528,419,12.21,9.41,368363.96,384096.43,15732.48,0.01,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Iraq,2018,Exports & Imports,383,122,8.85,2.74,39690.99,93143.8,53452.81,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Iceland,2018,Exports & Imports,2139,551,49.45,12.37,406130.07,436254.96,30124.89,0.02,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Israel,2018,Exports & Imports,1272,823,29.4,18.47,146961.2,311244.29,164283.09,0.1,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Italy,2018,Exports & Imports,2206,2801,50.99,62.87,-1080955.38,4546187.74,5627143.12,3.31,2.74,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Jamaica,2018,Exports & Imports,91,16,2.1,0.36,34527.22,34760.27,233.05,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Jordan,2018,Exports & Imports,537,252,12.41,5.66,56883.09,62077.26,5194.17,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Japan,2018,Exports & Imports,1913,1876,44.22,42.11,806713.95,2491925.62,1685211.67,0.99,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Kazakhstan,2018,Exports & Imports,592,86,13.68,1.93,79916.2,89853.87,9937.67,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Kenya,2018,Exports & Imports,406,129,9.39,2.9,32551.37,63369.32,30817.94,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Kyrgyz Republic,2018,Exports & Imports,89,10,2.06,0.22,3826.1,3840.25,14.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Cambodia,2018,Exports & Imports,164,171,3.79,3.84,-67020.36,6447.5,73467.87,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Kiribati,2018,Exports & Imports,2,2,0.05,0.04,373.86,374.55,0.69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,St. Kitts and Nevis,2018,Exports & Imports,13,2,0.3,0.04,-9.54,86.67,96.21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,"Korea, Rep.",2018,Exports & Imports,1793,1396,41.45,31.34,522609.25,1617955.59,1095346.34,0.64,0.98,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Kuwait,2018,Exports & Imports,759,168,17.55,3.77,32223.87,62851.8,30627.93,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Lao PDR,2018,Exports & Imports,60,42,1.39,0.94,-15042.86,2173.76,17216.62,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Lebanon,2018,Exports & Imports,740,412,17.11,9.25,77447.52,92818.05,15370.53,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Liberia,2018,Exports & Imports,105,9,2.43,0.2,5178.35,5185.26,6.91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Libya,2018,Exports & Imports,131,25,3.03,0.56,-474933.69,61543.4,536477.09,0.32,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,St. Lucia,2018,Exports & Imports,31,2,0.72,0.04,561.48,561.71,0.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Latin America & Caribbean,2018,Exports & Imports,1935,1410,44.73,31.65,1316964.78,2994177.52,1677212.74,0.99,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Sri Lanka,2018,Exports & Imports,411,345,9.5,7.74,-28222.01,44359.12,72581.13,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Lithuania,2018,Exports & Imports,2016,1147,46.6,25.75,-490209.65,1119040.01,1609249.67,0.95,0.67,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Luxembourg,2018,Exports & Imports,904,437,20.9,9.81,-243385.18,117945.4,361330.58,0.21,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Latvia,2018,Exports & Imports,1990,962,46,21.59,-522790.87,527670.46,1050461.33,0.62,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Macao,2018,Exports & Imports,196,40,4.53,0.9,-4581.58,2703.59,7285.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Morocco,2018,Exports & Imports,692,317,16,7.12,348770.89,483008.04,134237.15,0.08,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Moldova,2018,Exports & Imports,273,42,6.31,0.94,13444.75,14834.53,1389.78,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Madagascar,2018,Exports & Imports,96,21,2.22,0.47,-24652.42,3573.9,28226.32,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Maldives,2018,Exports & Imports,151,17,3.49,0.38,3283.99,3526.25,242.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Middle East & North Africa,2018,Exports & Imports,2229,1751,51.53,39.3,2989038.52,4665279.13,1676240.61,0.99,2.81,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Mexico,2018,Exports & Imports,1213,618,28.04,13.87,572433.91,687145.7,114711.79,0.07,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Marshall Islands,2018,Exports & Imports,3,1,0.07,0.02,139.28,139.74,0.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,North Macedonia,2018,Exports & Imports,420,202,9.71,4.53,-6762.69,13729.06,20491.74,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Mali,2018,Exports & Imports,158,37,3.65,0.83,12245.06,12576.62,331.56,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Malta,2018,Exports & Imports,697,80,16.11,1.8,-10007.31,49465.07,59472.38,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Myanmar,2018,Exports & Imports,131,132,3.03,2.96,-41295.9,8493.84,49789.74,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Mongolia,2018,Exports & Imports,283,56,6.54,1.26,35855.44,36214.51,359.07,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Montenegro,2018,Exports & Imports,197,28,4.55,0.63,2676.43,4070.58,1394.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Mozambique,2018,Exports & Imports,103,16,2.38,0.36,8229.08,8779.88,550.8,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Mauritania,2018,Exports & Imports,88,4,2.03,0.09,4550.24,4664.75,114.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Mauritius,2018,Exports & Imports,230,63,5.32,1.41,-11541.25,5002.7,16543.95,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Malawi,2018,Exports & Imports,35,10,0.81,0.22,426.76,1520.65,1093.89,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Malaysia,2018,Exports & Imports,1199,819,27.72,18.38,-42494.37,323207.06,365701.42,0.21,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,North America,2018,Exports & Imports,2869,3402,66.32,76.36,7031591.06,11918953.08,4887362.02,2.87,7.18,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Namibia,2018,Exports & Imports,142,62,3.28,1.39,24688.61,26322.83,1634.22,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,New Caledonia,2018,Exports & Imports,99,6,2.29,0.13,-2703.95,1367.56,4071.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Niger,2018,Exports & Imports,122,9,2.82,0.2,8057.03,8151.4,94.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Norfolk Island,2018,Exports & Imports,3,2,0.07,0.04,-10.13,1.38,11.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Nigeria,2018,Exports & Imports,462,130,10.68,2.92,-2039735.98,86544.94,2126280.92,1.25,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Nicaragua,2018,Exports & Imports,172,31,3.98,0.7,-2809.15,8168.67,10977.82,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Niue,2018,Exports & Imports,1,1,0.02,0.02,-106.68,0.23,106.91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Netherlands,2018,Exports & Imports,2445,3283,56.52,73.69,-6342422.03,9648270.2,15990692.23,9.4,5.81,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Norway,2018,Exports & Imports,4002,3291,92.51,73.87,2549069.13,17248764.57,14699695.44,8.64,10.4,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Nepal,2018,Exports & Imports,96,131,2.22,2.94,627.53,1886.23,1258.69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Nauru,2018,Exports & Imports,2,2,0.05,0.04,-2.65,1.61,4.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,New Zealand,2018,Exports & Imports,1230,598,28.43,13.42,130114.48,182006.96,51892.48,0.03,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,"Other Asia, nes",2018,Exports & Imports,1340,1602,30.98,35.96,-176726.34,531701.79,708428.13,0.42,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Oman,2018,Exports & Imports,566,77,13.08,1.73,107915.57,171740.73,63825.16,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Pakistan,2018,Exports & Imports,569,564,13.15,12.66,202532.66,350669.89,148137.23,0.09,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Panama,2018,Exports & Imports,411,74,9.5,1.66,21848.64,33921.73,12073.09,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Peru,2018,Exports & Imports,687,260,15.88,5.84,123073.71,221625.82,98552.11,0.06,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Philippines,2018,Exports & Imports,786,439,18.17,9.85,160276.96,206497.77,46220.81,0.03,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Papua New Guinea,2018,Exports & Imports,49,12,1.13,0.27,578.3,1351.91,773.61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Poland,2018,Exports & Imports,2575,2440,59.52,54.77,-1351899.05,5465731.83,6817630.88,4.01,3.29,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,"Korea, Dem. Rep.",2018,Exports & Imports,1,3,0.02,0.07,-147.42,5.76,153.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Portugal,2018,Exports & Imports,1465,851,33.87,19.1,96404.71,783766.48,687361.77,0.4,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Paraguay,2018,Exports & Imports,276,11,6.38,0.25,1653.89,10928.55,9274.66,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
