Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Slovenia,Peru,2018,Exports & Imports,155,133,3.81,3.04,3113.57,7940.9,4827.33,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Philippines,2018,Exports & Imports,192,411,4.72,9.39,1130.48,16182.63,15052.15,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Papua New Guinea,2018,Exports & Imports,23,8,0.57,0.18,-441.77,14.46,456.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Poland,2018,Exports & Imports,1608,2395,39.55,54.73,65435.94,1086853.64,1021417.69,2.82,2.98,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,"Korea, Dem. Rep.",2018,Exports & Imports,,115,,2.63,,,727.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Portugal,2018,Exports & Imports,815,945,20.04,21.6,-13005.34,132643.46,145648.8,0.4,0.36,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Paraguay,2018,Exports & Imports,67,25,1.65,0.57,2634.36,2772.15,137.79,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Occ.Pal.Terr,2018,Exports & Imports,22,3,0.54,0.07,1602.45,1603.05,0.61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,French Polynesia,2018,Exports & Imports,25,4,0.61,0.09,1200,1227.26,27.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Qatar,2018,Exports & Imports,228,87,5.61,1.99,16554.6,17833.29,1278.69,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Romania,2018,Exports & Imports,1563,1165,38.44,26.62,58588.4,611426.97,552838.57,1.52,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Russian Federation,2018,Exports & Imports,1213,913,29.83,20.86,439012.05,934058.68,495046.62,1.37,2.56,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Rwanda,2018,Exports & Imports,84,6,2.07,0.14,1518.11,1528.48,10.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,South Asia,2018,Exports & Imports,773,1642,19.01,37.52,-383271.1,152161.87,535432.97,1.48,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Saudi Arabia,2018,Exports & Imports,371,71,9.12,1.62,7107.39,121801.62,114694.23,0.32,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Senegal,2018,Exports & Imports,78,34,1.92,0.78,2560.68,3641.31,1080.63,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,"Serbia, FR(Serbia/Montenegro)",2018,Exports & Imports,2982,1752,73.34,40.04,406647.78,1183641.9,776994.12,2.14,3.25,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Singapore,2018,Exports & Imports,376,434,9.25,9.92,12060.82,34317.01,22256.19,0.06,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Saint Helena,2018,Exports & Imports,,16,,0.37,,,14.94,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Solomon Islands,2018,Exports & Imports,,1,,0.02,,,0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Sierra Leone,2018,Exports & Imports,42,79,1.03,1.81,241.45,686.69,445.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,El Salvador,2018,Exports & Imports,18,42,0.44,0.96,666.49,960.41,293.92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,San Marino,2018,Exports & Imports,34,67,0.84,1.53,8622.81,12498.16,3875.35,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Somalia,2018,Exports & Imports,6,3,0.15,0.07,1229.8,1426.2,196.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Special Categories,2018,Exports & Imports,1,3,0.02,0.07,-43551.62,77386.77,120938.4,0.33,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Saint Pierre and Miquelon,2018,Exports & Imports,2,2,0.05,0.05,34.89,53,18.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,South Sudan,2018,Exports & Imports,8,1,0.2,0.02,26.83,27.5,0.68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Sub-Saharan Africa,2018,Exports & Imports,767,735,18.86,16.8,-69870.85,104367.74,174238.59,0.48,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Sao Tome and Principe,2018,Exports & Imports,,8,,0.18,,,251.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Sudan,2018,Exports & Imports,67,6,1.65,0.14,10125.54,10127.33,1.8,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Suriname,2018,Exports & Imports,18,39,0.44,0.89,388.27,511.76,123.49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Slovak Republic,2018,Exports & Imports,1686,1499,41.47,34.26,50183.55,588128.86,537945.31,1.48,1.61,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Sweden,2018,Exports & Imports,991,1323,24.37,30.23,171566.36,423219.19,251652.83,0.69,1.16,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Eswatini,2018,Exports & Imports,,18,,0.41,,,5.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Saint Maarten (Dutch part),2018,Exports & Imports,4,1,0.1,0.02,33.14,33.78,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Seychelles,2018,Exports & Imports,44,7,1.08,0.16,423.39,429.33,5.94,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Syrian Arab Republic,2018,Exports & Imports,62,9,1.52,0.21,2162.67,2206.56,43.89,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Turks and Caicos Isl.,2018,Exports & Imports,3,10,0.07,0.23,188.24,191.56,3.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Chad,2018,Exports & Imports,,1,,0.02,,,102.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Togo,2018,Exports & Imports,9,8,0.22,0.18,74.79,83.05,8.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Thailand,2018,Exports & Imports,364,989,8.95,22.6,-56070.47,39942.53,96013,0.26,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Tajikistan,2018,Exports & Imports,99,23,2.43,0.53,5811.06,5880.58,69.52,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Tokelau,2018,Exports & Imports,,34,,0.78,,,12.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Turkmenistan,2018,Exports & Imports,28,4,0.69,0.09,8414.18,8414.64,0.46,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,East Timor,2018,Exports & Imports,16,9,0.39,0.21,10.29,14.04,3.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Tonga,2018,Exports & Imports,4,2,0.1,0.05,6.91,7.04,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Trinidad and Tobago,2018,Exports & Imports,23,18,0.57,0.41,644.72,655.61,10.89,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Tunisia,2018,Exports & Imports,154,367,3.79,8.39,630.42,22654.76,22024.34,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Turkey,2018,Exports & Imports,844,1682,20.76,38.44,-495054.08,322994.18,818048.26,2.26,0.89,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Tuvalu,2018,Exports & Imports,,18,,0.41,,,33.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Tanzania,2018,Exports & Imports,16,27,0.39,0.62,5.44,237.22,231.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
