Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Croatia,Somalia,2018,Exports & Imports,2,2,0.05,0.05,271.43,272.18,0.74,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Sub-Saharan Africa,2018,Exports & Imports,625,241,15.85,5.53,21730.47,47190.22,25459.75,0.09,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Slovak Republic,2018,Exports & Imports,1224,1500,31.03,34.44,-330595.02,188086.45,518681.46,1.85,1.09,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Slovenia,2018,Exports & Imports,2983,3483,75.63,79.98,-1236353.99,1903938.16,3140292.15,11.17,11.06,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Sweden,2018,Exports & Imports,663,1172,16.81,26.91,-33730.68,125269.26,158999.94,0.57,0.73,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Eswatini,2018,Exports & Imports,,3,,0.07,,,33.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Seychelles,2018,Exports & Imports,53,6,1.34,0.14,186.59,189.57,2.98,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Chad,2018,Exports & Imports,8,1,0.2,0.02,20.15,20.82,0.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Thailand,2018,Exports & Imports,128,392,3.25,9,-9623.77,14937.17,24560.94,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Tajikistan,2018,Exports & Imports,4,2,0.1,0.05,3.84,35.53,31.69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Turkmenistan,2018,Exports & Imports,5,3,0.13,0.07,114.33,116.25,1.92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Tonga,2018,Exports & Imports,,1,,0.02,,,2.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Trinidad and Tobago,2018,Exports & Imports,3,3,0.08,0.07,2943.97,2961.43,17.46,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Tunisia,2018,Exports & Imports,50,53,1.27,1.22,37441.38,42439.71,4998.32,0.02,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Turkey,2018,Exports & Imports,419,1646,10.62,37.8,-257509.44,123075.49,380584.93,1.35,0.72,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Tuvalu,2018,Exports & Imports,,1,,0.02,,,0.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Tanzania,2018,Exports & Imports,8,17,0.2,0.39,2065.79,2091.19,25.4,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Uganda,2018,Exports & Imports,65,4,1.65,0.09,94.23,123.95,29.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Ukraine,2018,Exports & Imports,400,349,10.14,8.01,10932.53,42744.76,31812.23,0.11,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,United States Minor Outlying I,2018,Exports & Imports,,1,,0.02,,,22.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Unspecified,2018,Exports & Imports,460,733,11.66,16.83,-53077.25,13771.11,66848.36,0.24,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Uruguay,2018,Exports & Imports,13,4,0.33,0.09,2.12,28.48,26.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,United States,2018,Exports & Imports,801,1925,20.31,44.2,190086.8,403917.64,213830.83,0.76,2.35,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Uzbekistan,2018,Exports & Imports,11,5,0.28,0.11,-42.64,226.88,269.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Venezuela,2018,Exports & Imports,2,12,0.05,0.28,-203.57,10.26,213.83,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,British Virgin Islands,2018,Exports & Imports,20,3,0.51,0.07,1340.67,1367.44,26.77,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Vietnam,2018,Exports & Imports,113,324,2.87,7.44,-1180.9,33019.59,34200.49,0.12,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia, World,2018,Exports & Imports,3944,4355,100,100,-10902619.91,17210469.29,28113089.2,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,South Africa,2018,Exports & Imports,154,154,3.9,3.54,7666.64,13714.48,6047.83,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,"Congo, Dem. Rep.",2018,Exports & Imports,227,1,5.76,0.02,2714.05,2725.59,11.54,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Zambia,2018,Exports & Imports,9,3,0.23,0.07,2270.11,2336.06,65.95,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Zimbabwe,2018,Exports & Imports,12,4,0.3,0.09,-1469.9,450.39,1920.3,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
