Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Belgium,Guinea-Bissau,2018,Exports & Imports,109,5,2.42,0.11,3954.12,5067.31,1113.19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Equatorial Guinea,2018,Exports & Imports,487,10,10.83,0.22,28543.65,29013.75,470.1,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Greece,2018,Exports & Imports,2781,1117,61.83,24.72,1516524.71,1998913.98,482389.27,0.11,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Grenada,2018,Exports & Imports,81,6,1.8,0.13,1195.47,1445.26,249.79,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Greenland,2018,Exports & Imports,135,1,3,0.02,1349.35,1349.71,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Guatemala,2018,Exports & Imports,496,106,11.03,2.35,10073.66,55183.23,45109.57,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Guam,2018,Exports & Imports,22,7,0.49,0.15,712.68,714.15,1.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Guyana,2018,Exports & Imports,137,19,3.05,0.42,-63239.37,11908.25,75147.62,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,"Hong Kong, China",2018,Exports & Imports,2079,1195,46.22,26.44,1551024.53,2472467.49,921442.96,0.2,0.53,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Honduras,2018,Exports & Imports,311,98,6.91,2.17,-115405.84,23335.39,138741.22,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
