Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Finland,Trinidad and Tobago,2018,Exports & Imports,78,12,2.02,0.28,-25777.58,2121.49,27899.07,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Tunisia,2018,Exports & Imports,169,337,4.38,7.81,29916.81,55356.08,25439.27,0.03,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Turkey,2018,Exports & Imports,1029,1670,26.69,38.68,177452.67,825934.87,648482.2,0.83,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Tanzania,2018,Exports & Imports,236,37,6.12,0.86,29927.95,34882.05,4954.1,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Uganda,2018,Exports & Imports,76,33,1.97,0.76,-1443.36,3762.4,5205.76,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Ukraine,2018,Exports & Imports,977,641,25.34,14.85,167753.25,253280.59,85527.34,0.11,0.34,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,United States Minor Outlying I,2018,Exports & Imports,,4,,0.09,,,1.54,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Unspecified,2018,Exports & Imports,91,4,2.36,0.09,239774.25,3183726.63,2943952.39,3.76,4.23,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Uruguay,2018,Exports & Imports,542,63,14.06,1.46,20783.03,53622.86,32839.82,0.04,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,United States,2018,Exports & Imports,2189,3108,56.78,71.99,2374422.29,4859967.36,2485545.07,3.17,6.46,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Uzbekistan,2018,Exports & Imports,195,18,5.06,0.42,38505.86,38551.11,45.25,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Holy See,2018,Exports & Imports,3,1,0.08,0.02,48.45,48.55,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,St. Vincent and the Grenadines,2018,Exports & Imports,1,1,0.03,0.02,40.51,40.78,0.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Venezuela,2018,Exports & Imports,92,37,2.39,0.86,5587.14,5701.06,113.92,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,British Virgin Islands,2018,Exports & Imports,27,6,0.7,0.14,5737.46,5747,9.53,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Vietnam,2018,Exports & Imports,531,1032,13.77,23.91,-229344.89,126427.39,355772.27,0.45,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
Finland, World,2018,Exports & Imports,3855,4317,100,100,-3093870.95,75258290.46,78352161.41,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Wallis and Futura Isl.,2018,Exports & Imports,,2,,0.05,,,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Yemen,2018,Exports & Imports,12,6,0.31,0.14,2377.7,2378.51,0.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,South Africa,2018,Exports & Imports,859,554,22.28,12.83,179078.34,321808.32,142729.98,0.18,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,"Congo, Dem. Rep.",2018,Exports & Imports,129,21,3.35,0.49,13770.89,13833.93,63.04,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Zambia,2018,Exports & Imports,159,10,4.12,0.23,26668.11,27542.53,874.42,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Zimbabwe,2018,Exports & Imports,65,30,1.69,0.69,4333.88,4790.29,456.41,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
